id,title,alternative_title,description,tasks,soft_skill,hard_skill,job_zone,majors,typical_industries,in_demand,hazard,physical_activity,decision_making,time_pressure
"1","Accountants and Auditors","Accountant
Accounting Officer
Certified Public Accountant (CPA)
Cost Accountant
Revenue Tax Specialist","Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.","Establish tables of accounts and assign entries to proper accounts.
Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.
Match order forms with invoices, and record the necessary information.
Prepare and process payroll information.
Calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.
Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.
Complete and submit tax forms and returns, workers' compensation forms, pension contribution forms, and other government documents.
Prepare, analyze, or verify annual reports, financial statements, and other record to assess financial condition and facilitate financial planning.
Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.
","Communication
Organization
Analysis
Interpersonal
Adaptability","Microsoft Excel
Microsoft Office software
Accounting software
Microsoft PowerPoint 
Intuit QuickBooks 
Microsoft Outlook
SAP software  ","","Alternative And Complementary Medicine And Medical Systems","Accounting, tax preparation, bookkeeping, and payroll services	24%
Finance and insurance	8%
Government	8%
Management of companies and enterprises	7%
Self-employed workers	4%","No","Low","Low","High","High"
"2","Actors","Actor
Actress
Comedian
Comic
Community Theater Actor
Ensemble Member
Narrator
Performer
Tour Actor
Voice-Over Artist","Being an actor is like being a professional pretend-er. You get paid to play make-believe and channel your inner child. Plus, you get to wear costumes, wear lots of makeup, and perform on stage or in front of a camera. It's a great way to express your creativity and show off your acting skills. Plus, you get to be the star of the show and hear people say, ""You were amazing!"" after every performance. And let's not forget the endless supply of free craft services. Who wouldn't want to be an actor?","Pretend to be someone else, using your voice, movements, and acting skills to entertain, educate, or inform people who are watching or listening.
Work closely with the director and other actors to figure out the best way to portray your character.
Use your body and facial expressions to show different emotions and actions, whether it's funny or serious.
Read the script, learn your lines, and practice the stunts and cues that the director wants you to do.
Go to auditions and try out for different roles.
Sing and dance if your character calls for it.
Do action stunts to make the movie, TV show, or play more exciting.","Memorization","","","Drama
Arts Theater","Self-employed workers	33%
Colleges, universities, and professional schools; state, local, and private	9%
Professional, scientific, and technical services	8%
Theater companies and dinner theaters	4%","Yes","Moderate","High","Low","High"
"3","Actuaries","Actuarial Analyst, Actuarial Associate, Actuarial Consultant, Actuary, Consulting Actuary, Health Actuary, Pricing Actuary, Pricing Analyst, Product Development Actuary, Retirement Actuary","Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.
","Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.
Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.
Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.
Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.
Determine policy contract provisions for each type of insurance.
Negotiate terms and conditions of reinsurance with other companies.","Speaking
Systems Analysis
Active Listening
Complex Problem Solving
Systems Evaluation
Reading Comprehension
Mathematics
Critical Thinking
Judgment and Decision Making","Structured query language SQL
Microsoft Excel
SAS
Microsoft Office software
Python ","","Actuarial Science
Business Analytics
Statistics
Insurance and Risk Management","Finance and insurance        74%
Professional, scientific, and technical services        13%
Management of companies and enterprises        4%
Self-employed workers        4%
Government        3%","No","Low","Low","Moderate","Low"
"4","Acupuncturists","Acupuncture Physician
Acupuncture Provider
Acupuncturist
Chinese Medical Doctor
Herbalist
Licensed Acupuncturist
Oriental Medicine Provider
Traditional Chinese Medicine Doctor
Traditional Chinese Medicine Practitioner","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.","Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.
Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.
Insert needles to provide acupuncture treatment.
Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.
Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.
Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.
Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.
Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.","Active Listening","Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Microsoft Outlook
Microsoft Word","","Acupuncture and traditional Chinese medicine","Education        10%
Public        24%
Private        62%
Government        5%","No","Low","Moderate","Low","Low"
"5","Acute Care Nurses","Cardiac Interventional Care Nurse
Charge Nurse
Preceptor
Progressive Care Unit RN (Progressive Care Unit Registered Nurse)
Staff Nurse","Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.","Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.
Treat wounds or superficial lacerations.
Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses. 
Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.
Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.
Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
Obtain specimens or samples for laboratory work.
Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.
Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.
Perform administrative duties that facilitate admission, transfer, or discharge of patients.","Reading Comprehension
Active Listening
Speaking
Critical Thinking
Monitoring
Social Perceptiveness
Service Orientation","eClinicalWorks EHR software
Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Microsoft Outlook
Microsoft Word","","Nursing","Hospitals; state, local, and private        60%
Ambulatory healthcare services        18
Nursing and residential care facilities        6
Government        6
Educational services; state, local, and private        3","No","Moderate","high","High","High"
"6","Adapted Physical Education Specialists","Adapted Physical Activity Specialist
Adapted Physical Education Specialist ","Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.","Assist in screening or placement of students in adapted physical education programs.
Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.
Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.
Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.
Provide students positive feedback to encourage them and help them develop an appreciation for physical education.
Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.
Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.
Assess students' physical progress or needs.
Write reports to summarize student performance, social growth, or physical development.","Reading Comprehension
Writing
Critical Thinking
Learning Strategies
Monitoring
Service Orientation
Judgment and Decision Making
Active Listening
Speaking
Active Learning
Social Perceptiveness
Instructing","Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Microsoft Outlook
Microsoft Word","","Physical Education","","Yes","Moderate","High","Low","Low"
"7","Adhesive Bonding Machine Operators and Tenders","Coater Operator
Glue Line Operator","Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.","Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.
Monitor machine operations to detect malfunctions and report or resolve problems.
Align and position materials being joined to ensure accurate application of adhesive or heat sealing.
Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.
Transport materials, supplies, and finished products between storage and work areas, using forklifts.
Measure and mix ingredients to prepare glue.
Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.
Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.","Operation and Control","Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Microsoft Outlook
Microsoft Word
SAP Software","","","","No","High","High","Moderate","High"
"8","Administrative Services Managers","Administrative Coordinator
Administrative Manager
Administrative Officer","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.
Analyze internal processes and recommend and implement procedural or policy changes to improve operations.
Determine departmental fiscal requirements and prepare budgetary recommendations
Hire and terminate clerical and administrative personnel.
Supervise administrative staff and provide training and orientation to new staff.
Establish work procedures or schedules to organize the daily work of administrative staff.
Set goals and deadlines for the department.
Acquire, distribute and store supplies.
Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.
","Speaking
Reading Comprehension
Active Listening
Time Management","Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Microsoft Outlook
Microsoft Word","","","","No","Moderate","Moderate","Moderate","Moderate"
"9","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education Instructor","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.","Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.
Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.
Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic Arabic and English language skills, life skills, and workforce entry skills.
Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.
Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.
Observe and evaluate students' work to determine progress and make suggestions for improvement.
Prepare reports on students and activities as required by administration.
Select, order, and issue books, materials, and supplies for courses or projects.
Write grants to obtain program funding.","Instructing","Microsoft Office software
Microsoft Excel","","","","No","Low","Moderate","Moderte","Low"
"10","Advertising and Promotions Managers","Account Executive
Advertising Sales Manager
Communications Director,","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Direct and coordinate product research and development.
Analyze marketing or sales trends to forecast future conditions.
Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.
Prepare campaign budgets and negotiate advertising and sales contracts.
Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.
Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.
Manage sales team including setting goals, providing incentives, and evaluating employee performance.
Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.
Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.
Track program budgets, expenses, and campaign response rates to evaluate each campaign based on program objectives and industry norms.","Speaking
Critical Thinking
Social Perceptiveness
Active Listening","Microsoft Excel
Microsoft Office software
Microsoft PowerPoint
Adobe Systems Adobe Photoshop
Hypertext markup language HTML
Microsoft Outlook
Microsoft Word","","Marketing
Business Administration
Communications","Advertising, public relations, and related services	38%
Self-employed workers	16
Information	16
Management of companies and enterprises	8
Wholesale trade	2","No","Low","Low","High","High"
